Y	X	Z
7937.41	81.9	44.16
8031.4	82.97	44.9
8125.4	83.9	45.82
8219.39	84.8	46.88
8313.38	85.46	48.01
8407.37	86	49.29
8501.36	86.54	50.49
8595.36	86.85	51.49
8689.35	87	52.46
8783.34	87.93	53.47
8877.32	89.76	54.7
8971.29	91.71	56.21
9065.26	93.45	57.7
9159.24	94.96	58.96
9253.22	96.36	60.22
9347.21	97.6	61.53
9441.19	98.75	62.71
9535.18	99.83	63.7
9629.17	100.83	64.56
9724.17	101.77	65.37
9818.16	102.65	65.97
9845.16	102.9	66.09
9912.1	105.53	66.59
9942.91	108.87	67.08
9974.32	114.85	67.99
10004.2	122.97	69.31
10034.37	133.48	71.09
10062.79	145.65	73.2
10090.3	159.73	75.65
10117.72	176.03	78.02
10143.14	193.65	80
10167.16	213.14	82
10190.37	235.05	84.22
10211.15	257.94	86.49
10230.66	281.94	88.52
10249.82	307.51	90.19
10266.84	333.37	91.68
10281.77	360.47	93.39
10294.96	389.54	95.55
10305.71	418.51	97.94
10314.36	448.15	100.61
10321.07	479.34	103.01
10325.57	509.97	104.58
10328.22	540.82	105.98
10329	572.76	107.66
10328.62	603.7	109.55
10328.16	634.64	111.47
10327.77	666.57	113.42
10327.44	760.41	118.92
10327.6	791.37	120.65
10327.71	854.28	124
10327.39	948.18	128.18
10327.71	1042.13	131.22
10329.27	1136.1	132.94
10330.11	1205.08	134.38
10329.36	1291.04	137.08
10328.8	1322.02	138.03
10327.14	1416.96	140.77
10325.4	1511.9	143.67
10323.57	1606.84	146.65
10322	1701.78	149.63
10320.34	1796.72	152.78
10318.52	1891.66	155.52
10317.6	1986.63	157.76
10317.6	2081.59	160.41
10317.71	2112.58	161.44
10319.22	2176.52	163.56
10323.45	2271.38	166.62
10327.51	2366.26	169.02
10328.81	2397.23	169.62
10331.87	2487.14	171.97
10333.2	2582.07	175.45
10333.86	2676.99	179.43
10335.68	2771.88	183.49
10337.67	2866.8	186.89
10338.33	2960.75	189.84
10338	3055.71	192.74
10337.33	3150.68	194.98
10337.25	3245.67	196.14
10337.42	3340.67	195.64
10337	3435.66	194.07
10336.92	3530.62	191.5
10337.83	3625.54	187.77
10340.15	3720.4	183.05
10342.64	3815.28	179.24
10343.72	3910.27	178.49
10344.38	4005.26	179.49
